instance_name,instance_type,runs,successful_runs,feasible_runs,feasible_rate,algorithms_tested,seeds_tested,best_observed_objective,best_algorithm_ids,fastest_observed_wall_time_ms,fastest_algorithm_ids,depot_count,customer_count,salesman_count,return_to_depot,median_wall_time_ms,p90_wall_time_ms
g03_i22_c500_d4_m12_adversarial,adversarial,13,13,13,1.0,13,1,12186.319755380173,lkh_mdmtsp_v5_portfolio,0.483,nearest_neighbour,4,500,12,True,565.113,10957.635400000001
g03_i23_c500_d4_m13_adversarial,adversarial,13,13,13,1.0,13,1,13525.283878190829,lkh_mdmtsp_v4_portfolio,0.474,nearest_neighbour,4,500,13,True,462.905,11299.826400000002
g03_i24_c500_d5_m15_adversarial,adversarial,13,13,13,1.0,13,1,12447.561028237233,lkh_mdmtsp_v5_portfolio,0.459,nearest_neighbour,5,500,15,True,363.149,12079.311800000003
g03_i25_c500_d4_m12_adversarial,adversarial,13,13,13,1.0,13,1,7512.789301385213,lkh_mdmtsp_v5_portfolio,0.451,nearest_neighbour,4,500,12,True,96.63,9166.7952
g03_i26_c500_d5_m14_adversarial,adversarial,13,13,13,1.0,13,1,8042.06556948089,"lkh_mdmtsp_v3,lkh_mdmtsp_v4_portfolio",0.499,nearest_neighbour,5,500,14,True,318.21,11432.385000000002
g03_i27_c500_d4_m12_adversarial,adversarial,13,13,13,1.0,13,1,8081.199107594735,lkh_mdmtsp_v5_portfolio,0.473,nearest_neighbour,4,500,12,True,288.766,11086.282000000003
g03_i28_c500_d5_m14_adversarial,adversarial,13,13,13,1.0,13,1,7618.811210342198,lkh_mdmtsp_v5_portfolio,0.48,nearest_neighbour,5,500,14,True,260.219,11462.934600000002
g03_i29_c500_d4_m12_adversarial,adversarial,13,13,13,1.0,13,1,8145.616885756675,lkh_mdmtsp_v5_portfolio,0.455,nearest_neighbour,4,500,12,True,257.412,9153.914200000001
g03_i30_c500_d5_m14_adversarial,adversarial,13,13,13,1.0,13,1,7211.618965971148,lkh_mdmtsp_v5_portfolio,0.482,nearest_neighbour,5,500,14,True,387.779,11463.0316
g03_i31_c500_d4_m12_adversarial,adversarial,13,13,13,1.0,13,1,7990.364642570419,lkh_mdmtsp_v5_portfolio,0.454,nearest_neighbour,4,500,12,True,231.257,11115.586000000001
g03_i32_c500_d5_m14_adversarial,adversarial,13,13,13,1.0,13,1,8151.07432577844,lkh_mdmtsp_v5_portfolio,0.451,nearest_neighbour,5,500,14,True,395.895,11453.1164
g03_i33_c500_d4_m13_adversarial,adversarial,13,13,13,1.0,13,1,10160.047870495244,lkh_mdmtsp_v5_portfolio,0.477,nearest_neighbour,4,500,13,True,296.508,11239.617200000002
g03_i34_c500_d5_m16_adversarial,adversarial,13,13,13,1.0,13,1,10382.76193564894,lkh_mdmtsp_v5_portfolio,0.468,nearest_neighbour,5,500,16,True,376.15,11805.782600000002
g03_i35_c500_d4_m13_adversarial,adversarial,13,13,13,1.0,13,1,9874.225564230956,lkh_mdmtsp_v5_portfolio,0.605,nearest_neighbour,4,500,13,True,357.061,11079.770400000003
