algorithm_id,instance_name,instance_type,runs,successful_runs,feasible_runs,feasible_rate,suite_names,depot_count,customer_count,salesman_count,return_to_depot,best_objective,mean_objective,median_objective,min_gap_to_best_observed,mean_gap_to_best_observed,median_gap_to_best_observed,min_time_ratio_to_fastest,mean_time_ratio_to_fastest,median_time_ratio_to_fastest,min_time_gap_to_fastest,mean_time_gap_to_fastest,median_time_gap_to_fastest,total_wall_time_s,mean_wall_time_ms,median_wall_time_ms,p90_wall_time_ms,median_wall_time_per_customer_us
cheapest_insertion_tabu,g03_i14_c500_d4_m13_adversarial,adversarial,1,1,1,1.0,research_group_03,4,500,13,True,26687.71584908843,26687.71584908843,26687.71584908843,0.8734900860962539,0.8734900860962539,0.8734900860962539,5.2154811715481175,5.2154811715481175,5.2154811715481175,4.2154811715481175,4.2154811715481175,4.2154811715481175,0.002493,2.493,2.493,2.493,4.986
cheapest_insertion_vnd,g03_i14_c500_d4_m13_adversarial,adversarial,1,1,1,1.0,research_group_03,4,500,13,True,24279.51794632538,24279.51794632538,24279.51794632538,0.704433471371451,0.704433471371451,0.704433471371451,18942.148535564855,18942.148535564855,18942.148535564855,18941.148535564855,18941.148535564855,18941.148535564855,9.054347,9054.347,9054.347,9054.347,18108.694
nearest_neighbour,g03_i14_c500_d4_m13_adversarial,adversarial,1,1,1,1.0,research_group_03,4,500,13,True,29841.827810459756,29841.827810459756,29841.827810459756,1.09491021524787,1.09491021524787,1.09491021524787,1.0,1.0,1.0,0.0,0.0,0.0,0.00047799999999999996,0.478,0.478,0.478,0.956
nearest_neighbour_2opt,g03_i14_c500_d4_m13_adversarial,adversarial,1,1,1,1.0,research_group_03,4,500,13,True,28535.19052965183,28535.19052965183,28535.19052965183,1.0031836693883438,1.0031836693883438,1.0031836693883438,1.5209205020920502,1.5209205020920502,1.5209205020920502,0.5209205020920502,0.5209205020920502,0.5209205020920502,0.000727,0.727,0.727,0.727,1.454
nearest_neighbour_2opt_v2,g03_i14_c500_d4_m13_adversarial,adversarial,1,1,1,1.0,research_group_03,4,500,13,True,27173.531860908948,27173.531860908948,27173.531860908948,0.9075945964619716,0.9075945964619716,0.9075945964619716,1.6150627615062763,1.6150627615062763,1.6150627615062763,0.6150627615062761,0.6150627615062761,0.6150627615062761,0.000772,0.772,0.772,0.772,1.544
random_insertion,g03_i14_c500_d4_m13_adversarial,adversarial,1,1,1,1.0,research_group_03,4,500,13,True,14244.919707419951,14244.919707419951,14244.919707419951,0.0,0.0,0.0,2.2384937238493725,2.2384937238493725,2.2384937238493725,1.2384937238493723,1.2384937238493723,1.2384937238493723,0.00107,1.07,1.07,1.07,2.14
cheapest_insertion,g03_i15_c500_d5_m15_adversarial,adversarial,1,1,1,1.0,research_group_03,5,500,15,True,25917.58053805149,25917.58053805149,25917.58053805149,0.8889830868745607,0.8889830868745607,0.8889830868745607,2.862422997946612,2.862422997946612,2.862422997946612,1.8624229979466118,1.8624229979466118,1.8624229979466118,0.0013939999999999998,1.394,1.394,1.394,2.788
cheapest_insertion_2opt,g03_i15_c500_d5_m15_adversarial,adversarial,1,1,1,1.0,research_group_03,5,500,15,True,25356.115483040936,25356.115483040936,25356.115483040936,0.8480611346410607,0.8480611346410607,0.8480611346410607,3.572895277207392,3.572895277207392,3.572895277207392,2.572895277207392,2.572895277207392,2.572895277207392,0.00174,1.74,1.74,1.74,3.48
cheapest_insertion_tabu,g03_i15_c500_d5_m15_adversarial,adversarial,1,1,1,1.0,research_group_03,5,500,15,True,24429.333088257783,24429.333088257783,24429.333088257783,0.7805133067723219,0.7805133067723219,0.7805133067723219,4.04517453798768,4.04517453798768,4.04517453798768,3.0451745379876796,3.0451745379876796,3.0451745379876796,0.00197,1.97,1.97,1.97,3.94
cheapest_insertion_vnd,g03_i15_c500_d5_m15_adversarial,adversarial,1,1,1,1.0,research_group_03,5,500,15,True,22723.46475879271,22723.46475879271,22723.46475879271,0.6561823948624117,0.6561823948624117,0.6561823948624117,19144.841889117044,19144.841889117044,19144.841889117044,19143.841889117044,19143.841889117044,19143.841889117044,9.323538000000001,9323.538,9323.538,9323.538,18647.076
