status,run_json,output_png,customer_count,algorithm_id,instance_name,message
rendered,/Users/mrggrm/Documents/GitHub/MDMTSP-HSE-RESEARCH/results/runs/research_until_25000/cheapest_insertion/research/group_03/g03_i08_c500_d3_m7_random/20260506T005954Z__research_until_25000__cheapest_insertion__g03_i08_c500_d3_m7_random__seed_42__ec6b3f80bc6a.json,/Users/mrggrm/Documents/GitHub/MDMTSP-HSE-RESEARCH/results/plots/solutions/research_until_25000/cheapest_insertion/research/group_03/g03_i08_c500_d3_m7_random/20260506T005954Z__research_until_25000__cheapest_insertion__g03_i08_c500_d3_m7_random__seed_42__ec6b3f80bc6a__solution.png,500,cheapest_insertion,group_03_instance_08_customers_500_depots_3_salesmen_7_random,ok
rendered,/Users/mrggrm/Documents/GitHub/MDMTSP-HSE-RESEARCH/results/runs/research_until_25000/cheapest_insertion/research/group_03/g03_i09_c500_d4_m8_random/20260506T005954Z__research_until_25000__cheapest_insertion__g03_i09_c500_d4_m8_random__seed_42__4f6c8e92caea.json,/Users/mrggrm/Documents/GitHub/MDMTSP-HSE-RESEARCH/results/plots/solutions/research_until_25000/cheapest_insertion/research/group_03/g03_i09_c500_d4_m8_random/20260506T005954Z__research_until_25000__cheapest_insertion__g03_i09_c500_d4_m8_random__seed_42__4f6c8e92caea__solution.png,500,cheapest_insertion,group_03_instance_09_customers_500_depots_4_salesmen_8_random,ok
rendered,/Users/mrggrm/Documents/GitHub/MDMTSP-HSE-RESEARCH/results/runs/research_until_25000/cheapest_insertion/research/group_03/g03_i10_c500_d5_m18_random/20260506T005954Z__research_until_25000__cheapest_insertion__g03_i10_c500_d5_m18_random__seed_42__6aa997800f90.json,/Users/mrggrm/Documents/GitHub/MDMTSP-HSE-RESEARCH/results/plots/solutions/research_until_25000/cheapest_insertion/research/group_03/g03_i10_c500_d5_m18_random/20260506T005954Z__research_until_25000__cheapest_insertion__g03_i10_c500_d5_m18_random__seed_42__6aa997800f90__solution.png,500,cheapest_insertion,group_03_instance_10_customers_500_depots_5_salesmen_18_random,ok
rendered,/Users/mrggrm/Documents/GitHub/MDMTSP-HSE-RESEARCH/results/runs/research_until_25000/cheapest_insertion/research/group_04/g04_i01_c1000_d6_m11_random/20260506T005954Z__research_until_25000__cheapest_insertion__g04_i01_c1000_d6_m11_random__seed_42__39af9be3e953.json,/Users/mrggrm/Documents/GitHub/MDMTSP-HSE-RESEARCH/results/plots/solutions/research_until_25000/cheapest_insertion/research/group_04/g04_i01_c1000_d6_m11_random/20260506T005954Z__research_until_25000__cheapest_insertion__g04_i01_c1000_d6_m11_random__seed_42__39af9be3e953__solution.png,1000,cheapest_insertion,group_04_instance_01_customers_1000_depots_6_salesmen_11_random,ok
rendered,/Users/mrggrm/Documents/GitHub/MDMTSP-HSE-RESEARCH/results/runs/research_until_25000/cheapest_insertion/research/group_04/g04_i02_c1000_d5_m19_random/20260506T005954Z__research_until_25000__cheapest_insertion__g04_i02_c1000_d5_m19_random__seed_42__1d81c2335287.json,/Users/mrggrm/Documents/GitHub/MDMTSP-HSE-RESEARCH/results/plots/solutions/research_until_25000/cheapest_insertion/research/group_04/g04_i02_c1000_d5_m19_random/20260506T005954Z__research_until_25000__cheapest_insertion__g04_i02_c1000_d5_m19_random__seed_42__1d81c2335287__solution.png,1000,cheapest_insertion,group_04_instance_02_customers_1000_depots_5_salesmen_19_random,ok
rendered,/Users/mrggrm/Documents/GitHub/MDMTSP-HSE-RESEARCH/results/runs/research_until_25000/cheapest_insertion/research/group_04/g04_i03_c1000_d7_m19_random/20260506T005954Z__research_until_25000__cheapest_insertion__g04_i03_c1000_d7_m19_random__seed_42__95df24ab7f2f.json,/Users/mrggrm/Documents/GitHub/MDMTSP-HSE-RESEARCH/results/plots/solutions/research_until_25000/cheapest_insertion/research/group_04/g04_i03_c1000_d7_m19_random/20260506T005954Z__research_until_25000__cheapest_insertion__g04_i03_c1000_d7_m19_random__seed_42__95df24ab7f2f__solution.png,1000,cheapest_insertion,group_04_instance_03_customers_1000_depots_7_salesmen_19_random,ok
rendered,/Users/mrggrm/Documents/GitHub/MDMTSP-HSE-RESEARCH/results/runs/research_until_25000/cheapest_insertion/research/group_04/g04_i04_c1000_d7_m12_random/20260506T005954Z__research_until_25000__cheapest_insertion__g04_i04_c1000_d7_m12_random__seed_42__96d6bbed9c05.json,/Users/mrggrm/Documents/GitHub/MDMTSP-HSE-RESEARCH/results/plots/solutions/research_until_25000/cheapest_insertion/research/group_04/g04_i04_c1000_d7_m12_random/20260506T005954Z__research_until_25000__cheapest_insertion__g04_i04_c1000_d7_m12_random__seed_42__96d6bbed9c05__solution.png,1000,cheapest_insertion,group_04_instance_04_customers_1000_depots_7_salesmen_12_random,ok
rendered,/Users/mrggrm/Documents/GitHub/MDMTSP-HSE-RESEARCH/results/runs/research_until_25000/cheapest_insertion/research/group_04/g04_i05_c1000_d10_m23_random/20260506T005954Z__research_until_25000__cheapest_insertion__g04_i05_c1000_d10_m23_random__seed_42__1d07681787f8.json,/Users/mrggrm/Documents/GitHub/MDMTSP-HSE-RESEARCH/results/plots/solutions/research_until_25000/cheapest_insertion/research/group_04/g04_i05_c1000_d10_m23_random/20260506T005954Z__research_until_25000__cheapest_insertion__g04_i05_c1000_d10_m23_random__seed_42__1d07681787f8__solution.png,1000,cheapest_insertion,group_04_instance_05_customers_1000_depots_10_salesmen_23_random,ok
rendered,/Users/mrggrm/Documents/GitHub/MDMTSP-HSE-RESEARCH/results/runs/research_until_25000/cheapest_insertion/research/group_05/g05_i01_c10000_d1_m6_random/20260506T005954Z__research_until_25000__cheapest_insertion__g05_i01_c10000_d1_m6_random__seed_42__c6be87594e2a.json,/Users/mrggrm/Documents/GitHub/MDMTSP-HSE-RESEARCH/results/plots/solutions/research_until_25000/cheapest_insertion/research/group_05/g05_i01_c10000_d1_m6_random/20260506T005954Z__research_until_25000__cheapest_insertion__g05_i01_c10000_d1_m6_random__seed_42__c6be87594e2a__solution.png,10000,cheapest_insertion,group_05_instance_01_customers_10000_depots_1_salesmen_6_random,ok
rendered,/Users/mrggrm/Documents/GitHub/MDMTSP-HSE-RESEARCH/results/runs/research_until_25000/cheapest_insertion/research/group_05/g05_i02_c10000_d2_m9_random/20260506T010031Z__research_until_25000__cheapest_insertion__g05_i02_c10000_d2_m9_random__seed_42__bd39a0f1a40b.json,/Users/mrggrm/Documents/GitHub/MDMTSP-HSE-RESEARCH/results/plots/solutions/research_until_25000/cheapest_insertion/research/group_05/g05_i02_c10000_d2_m9_random/20260506T010031Z__research_until_25000__cheapest_insertion__g05_i02_c10000_d2_m9_random__seed_42__bd39a0f1a40b__solution.png,10000,cheapest_insertion,group_05_instance_02_customers_10000_depots_2_salesmen_9_random,ok
rendered,/Users/mrggrm/Documents/GitHub/MDMTSP-HSE-RESEARCH/results/runs/research_until_25000/cheapest_insertion/research/group_05/g05_i03_c10000_d3_m18_random/20260506T010053Z__research_until_25000__cheapest_insertion__g05_i03_c10000_d3_m18_random__seed_42__498f00f2ce3d.json,/Users/mrggrm/Documents/GitHub/MDMTSP-HSE-RESEARCH/results/plots/solutions/research_until_25000/cheapest_insertion/research/group_05/g05_i03_c10000_d3_m18_random/20260506T010053Z__research_until_25000__cheapest_insertion__g05_i03_c10000_d3_m18_random__seed_42__498f00f2ce3d__solution.png,10000,cheapest_insertion,group_05_instance_03_customers_10000_depots_3_salesmen_18_random,ok
rendered,/Users/mrggrm/Documents/GitHub/MDMTSP-HSE-RESEARCH/results/runs/research_until_25000/cheapest_insertion/research/group_05/g05_i04_c10000_d1_m8_random/20260506T010105Z__research_until_25000__cheapest_insertion__g05_i04_c10000_d1_m8_random__seed_42__d2d629d45a86.json,/Users/mrggrm/Documents/GitHub/MDMTSP-HSE-RESEARCH/results/plots/solutions/research_until_25000/cheapest_insertion/research/group_05/g05_i04_c10000_d1_m8_random/20260506T010105Z__research_until_25000__cheapest_insertion__g05_i04_c10000_d1_m8_random__seed_42__d2d629d45a86__solution.png,10000,cheapest_insertion,group_05_instance_04_customers_10000_depots_1_salesmen_8_random,ok
